"Code","Q Avg","Q Min","Q Max","Q % Zeros","Q % below 70%","P Avg","P Min","P Max","P % Zeros","P % below 70%","PRE Avg","PRE Min","PRE Max","PRE % Zeros","PRE % below 70%","L Avg","L Min","L Max","L % Zeros","L % below 70%","R Avg","R Min","R Max","R % Zeros","R % below 70%","OLE Avg","OLE Min","OLE Max","Exam Avg","Exam Min","Exam Max","Male","Female","CS Major","ECE major","Standing","Math Class","415 Final Grade","Q Diff","P Diff","L Diff","R Diff","Took 416","416 Grade","Took 515","515 Grade","Took 520","520 Grade","Graduated with CS Degree","Semester"
135,0.255329192,0,0.896551724,0.6,0.9,0.531818182,0,1,0.363636364,0.454545455,0,0,0,1,1,0.822348485,0,1,0.136363636,0.181818182,0.666666667,0,1,0.333333333,0.333333333,0.475,0,0.95,0.205,0,0.41,1,0,1,0,0,2,0.502186352,-0.298158384,-0.817333333,-0.128030303,-0.3,0,-1,0,-1,0,-1,0,1
337,0.159411765,0,0.8,0.8,0.8,0.181818182,0,1,0.818181818,0.818181818,0,0,0,1,1,0.278787879,0,1,0.681818182,0.727272727,0.222222222,0,1,0.777777778,0.777777778,0,0,0,0,0,0,1,0,0,0,0,0,0.166203081,-0.318823529,-0.333333333,-0.375757576,-0.4,1,0,0,-1,0,-1,0,1
396,0.636371563,0.444444444,0.764705882,0,0.8,0.916363636,0.76,1,0,0,0.8,0.3,1,0,0.25,0.918181818,0.5,1,0,0.090909091,1,1,1,0,0,0.695,0.47,0.92,0.525,0.4,0.65,1,0,0,1,0,0,0.841154776,-0.095373845,-0.03,-0.072727273,0,1,1.67,1,1.67,0,-1,0,1
15,0.677383931,0.294117647,0.896551724,0,0.4,0.353636364,0,1,0.454545455,0.636363636,0.175,0,0.7,0.75,0.75,0.527348485,0,1,0.318181818,0.545454545,0.888888889,0,1,0.111111111,0.111111111,0.405,0.4,0.41,0.55,0.47,0.63,1,0,0,0,1,0,0.487374351,-0.270127338,-0.564,-0.347121212,-0.25,0,-1,0,-1,0,-1,0,1
170,0.308088235,0,0.875,0.6,0.6,0.344545455,0,1,0.545454545,0.636363636,0.075,0,0.3,0.75,1,0.474242424,0,1,0.454545455,0.545454545,0.222222222,0,1,0.777777778,0.777777778,0.365,0,0.73,0.195,0,0.39,1,0,1,0,1,4,0.345089435,-0.616176471,-0.631666667,-0.593939394,-0.4,0,-1,0,-1,0,-1,1,1
188,0.853773383,0.722222222,1,0,0,0.931818182,0.72,1,0,0,0.8625,0.75,1,0,0,0.989015152,0.85,1,0,0,1,1,1,0,0,0.85,0.81,0.89,0.625,0.58,0.67,1,0,1,0,0,4,0.919781302,-0.002318008,-0.069333333,-0.021969697,0,1,3,1,3,1,3,0,1
354,0.938815359,0.75,1.03125,0,0,0.862727273,0.24,1,0,0.181818182,0.8375,0.6,1,0,0.25,0.927121212,0.4,1,0,0.090909091,0.888888889,0,1,0.111111111,0.111111111,1,1,1,0.685,0.58,0.79,1,0,0,0,2,0,0.901737892,-0.094869281,-0.074666667,-0.078484848,-0.25,0,-1,0,-1,0,-1,0,1
156,0.616360012,0.444444444,1,0,0.8,0.430909091,0,0.98,0.363636364,0.636363636,0.2875,0,0.75,0.5,0.75,0.745075758,0,1,0.045454545,0.363636364,1,1,1,0,0,0.435,0.26,0.61,0.385,0.35,0.42,1,0,1,0,0,2,0.54117852,-0.128716757,-0.735,-0.437121212,0,0,-1,0,-1,0,-1,0,1
197,0.831399453,0.666666667,0.970588235,0,0.2,0.888181818,0.69,1,0,0.090909091,0.75,0.5,1,0,0.25,0.96219697,0.833333333,1,0,0,1,1,1,0,0,0.965,0.95,0.98,0.655,0.57,0.74,1,0,0,1,0,0,0.897874081,0.027070374,-0.059,-0.059242424,0,1,2.33,1,1.67,0,-1,0,1
101,0.352322938,0,0.666666667,0.1,1,0.586363636,0,1,0.090909091,0.363636364,0.275,0,0.6,0.5,1,0.905681818,0.166666667,1,0,0.090909091,0.888888889,0,1,0.111111111,0.111111111,0.1,0,0.2,0.26,0.2,0.32,1,0,0,1,1,0,0.553457084,-0.318371366,-0.671666667,-0.134090909,0.2,0,-1,0,-1,0,-1,0,1
13,0.402856801,0.205882353,0.586206897,0,1,0.473636364,0,1,0.363636364,0.545454545,0.475,0,0.8,0.25,0.75,0.763409091,0,1,0.136363636,0.272727273,0.555555556,0,1,0.444444444,0.444444444,0.185,0.02,0.35,0.215,0,0.43,1,0,0,1,0,0,0.481256174,-0.25220053,-0.795,-0.019242424,-0.1,0,-1,0,-1,0,-1,0,1
340,0.580244675,0.352941176,0.764705882,0,0.6,0.697272727,0,1,0.090909091,0.272727273,0.7625,0.6,0.9,0,0.25,0.920454545,0.4,1,0,0.090909091,1,1,1,0,0,0.325,0.15,0.5,0.445,0.39,0.5,1,0,0,0,0,0,0.695991629,-0.121763861,-0.468,0.068181818,0,1,1.33,1,1,0,-1,0,1
245,0.706184218,0.53125,0.911764706,0,0.5,0.9,0.65,1,0,0.090909091,0.875,0.7,1,0,0,0.841666667,0,1,0.045454545,0.136363636,1,1,1,0,0,0.475,0.43,0.52,0.565,0.48,0.65,1,0,0,1,0,0,0.826689249,-0.076992619,-0.102666667,-0.040909091,0,1,1.33,1,1.33,0,-1,0,1
184,0.772592827,0.46875,0.970588235,0,0.2,0.809090909,0.21,1,0,0.181818182,0.95,0.9,1,0,0,0.916439394,0.333333333,1,0,0.090909091,1,1,1,0,0,0.45,0.42,0.48,0.56,0.53,0.59,1,0,1,0,0,5,0.806767931,-0.168796766,-0.335666667,0.014090909,0,0,-1,0,-1,0,-1,0,1
44,0.490267495,0.222222222,0.676470588,0,1,0.787272727,0.39,1,0,0.363636364,0.55,0,1,0.25,0.75,0.912878788,0.5,1,0,0.090909091,1,1,1,0,0,0.45,0.44,0.46,0.43,0.29,0.57,1,0,1,0,0,2,0.721910508,-0.165829108,-0.094,0.043939394,0,0,-1,0,-1,0,-1,0,1
138,0.928398129,0.805555556,1,0,0,0.966363636,0.92,1,0,0,0.925,0.8,1,0,0,0.982575758,0.75,1,0,0,1,1,1,0,0,1,1,1,0.63,0.56,0.7,0,0,0,0,2,0,0.959923506,-0.015047893,-0.015333333,-0.025757576,0,0,-1,0,-1,0,-1,0,1
332,0.669524031,0.527777778,0.823529412,0,0.6,0.688181818,0,1,0.090909091,0.363636364,0.55,0,0.9,0.25,0.5,0.853787879,0,1,0.045454545,0.136363636,0.888888889,0,1,0.111111111,0.111111111,0.45,0.05,0.85,0.425,0.36,0.49,1,0,1,0,0,2,0.69571584,-0.126139565,-0.488,-0.137878788,-0.25,0,-1,0,-1,0,-1,0,1
59,0.826206897,0.7,0.941176471,0,0,0.9,0.68,1,0,0.090909091,0.725,0,1,0.25,0.25,0.978409091,0.75,1,0,0,0.555555556,0,1,0.444444444,0.444444444,0.875,0.75,1,0.64,0.54,0.74,1,0,0,1,0,0,0.877015917,0.073566599,0.011,-0.043181818,-1,1,0.67,1,0,0,-1,0,1
71,0.070588235,0,0.705882353,0.9,0.9,0.159090909,0,1,0.818181818,0.818181818,0,0,0,1,1,0.225,0,1,0.772727273,0.772727273,0.222222222,0,1,0.777777778,0.777777778,0,0,0,0,0,0,1,0,0,0,0,0,0.131510937,-0.141176471,-0.291666667,-0.277272727,-0.4,0,-1,0,-1,0,-1,1,1
373,0.932188979,0.794117647,1,0,0,0.958181818,0.85,1,0,0,0.9,0.6,1,0,0.25,0.95719697,0.775,1,0,0,1,1,1,0,0,0.99,0.98,1,0.69,0.57,0.81,1,0,1,0,0,3,0.956568049,0.090524003,0.007,-0.037121212,0,1,4,1,3,1,2,0,1
116,0.318824375,0.117647059,0.617647059,0,1,0.424545455,0,0.96,0.363636364,0.636363636,0.35,0,0.8,0.5,0.75,0.75530303,0,1,0.045454545,0.363636364,0.444444444,0,1,0.555555556,0.555555556,0.09,0,0.18,0.2,0.08,0.32,1,0,0,0,0,0,0.42473976,-0.273433063,-0.723333333,0.013636364,0.1,0,-1,0,-1,0,-1,1,1
284,0.906262959,0.766666667,1,0,0,0.941818182,0.84,1,0,0,0.475,0,1,0.5,0.5,0.950757576,0.6,1,0,0.045454545,0.666666667,0,1,0.333333333,0.333333333,1,1,1,0.675,0.58,0.77,1,0,1,0,0,3,0.917595024,0.047441402,-0.080333333,-0.071212121,-0.3,1,3,1,3,1,2,0,1
350,0.728311922,0.555555556,0.972222222,0,0.5,0.743636364,0.3,1,0,0.363636364,0.2,0,0.7,0.5,0.75,0.908712121,0.1,1,0,0.090909091,1,1,1,0,0,0.43,0.38,0.48,0.515,0.41,0.62,1,0,1,0,0,2,0.74197599,0.02654609,-0.267,0.017424242,0,1,0,0,-1,0,-1,0,1
150,0.281399594,0,0.655172414,0.5,1,0.171818182,0,1,0.818181818,0.818181818,0.175,0,0.7,0.75,0.75,0.403030303,0,1,0.5,0.636363636,0,0,0,1,1,0.09,0,0.18,0.185,0,0.37,1,0,0,0,0,0,0.221254733,-0.562799189,-0.315,-0.548484848,0,0,-1,0,-1,0,-1,1,1
93,0.884881536,0,1,0.1,0.1,0.991818182,0.95,1,0,0,0.75,0,1,0.25,0.25,1,1,1,0,0,1,1,1,0,0,1,1,1,0.695,0.58,0.81,1,0,1,0,0,3,0.967945917,-0.216903595,0.015,0,0,1,4,1,4,1,3.33,0,1
361,0.694666864,0,0.911764706,0.1,0.3,0.457272727,0,1,0.272727273,0.636363636,0.35,0,0.8,0.5,0.75,0.908712121,0.375,1,0,0.181818182,0.777777778,0,1,0.222222222,0.222222222,0.96,0.92,1,0.585,0.48,0.69,1,0,1,0,0,3,0.633340875,-0.074219349,-0.596333333,-0.182575758,-0.5,0,-1,0,-1,0,-1,0,1
387,0.553891988,0.176470588,0.78125,0,0.7,0.678181818,0,1,0.090909091,0.272727273,0.75,0.5,1,0,0.5,0.916060606,0.6,1,0,0.090909091,0.777777778,0,1,0.222222222,0.222222222,0.485,0.4,0.57,0.405,0.36,0.45,1,0,1,0,0,2,0.6791846,-0.308029074,-0.477,-0.08969697,0.4,0,-1,0,-1,0,-1,0,1
2,0.154379085,0,0.588235294,0.7,1,0.38,0,0.99,0.545454545,0.545454545,0.375,0,0.8,0.5,0.5,0.427272727,0,1,0.5,0.590909091,0.333333333,0,1,0.666666667,0.666666667,0.215,0,0.43,0.19,0,0.38,1,0,1,0,0,2,0.329533526,-0.153202614,-0.374,-0.536363636,-0.6,0,-1,0,-1,0,-1,0,1
179,0.488586601,0,0.866666667,0.3,0.6,0.937272727,0.85,1,0,0,0.8375,0.75,1,0,0,0.914772727,0.125,1,0,0.090909091,1,1,1,0,0,0.875,0.75,1,0.595,0.43,0.76,0,0,0,0,1,0,0.84234356,-0.150375817,-0.042666667,-0.052272727,0,1,2.67,1,0,0,-1,0,1
111,0.787524651,0.666666667,0.875,0,0.1,0.917272727,0.8,1,0,0,0.6,0,1,0.25,0.5,0.938333333,0.6,1,0,0.090909091,1,1,1,0,0,0.855,0.71,1,0.525,0.39,0.66,1,0,1,0,0,3,0.87701646,0.027483378,-0.042666667,-0.116060606,0,1,3,1,1,1,0,0,1
189,0.802895256,0.689655172,0.882352941,0,0.1,0.550909091,0,1,0.272727273,0.545454545,0.5,0,0.9,0.25,0.5,0.471060606,0,1,0.454545455,0.545454545,0.888888889,0,1,0.111111111,0.111111111,0.645,0.55,0.74,0.6,0.49,0.71,1,0,0,0,0,0,0.623082278,0.00654609,-0.705666667,-0.054242424,-0.25,0,-1,0,-1,0,-1,1,1
278,0.880524144,0.75,0.944444444,0,0,0.945454545,0.83,1,0,0,0.65,0.2,1,0,0.5,0.937121212,0,1,0.045454545,0.045454545,0.888888889,0,1,0.111111111,0.111111111,1,1,1,0.66,0.55,0.77,1,0,0,0,1,0,0.925290515,0.007905961,-0.043,-0.089393939,-0.25,1,2.67,1,3,1,2.67,0,1
368,0.572227011,0.352941176,0.793103448,0,0.8,0.377272727,0,1,0.545454545,0.636363636,0.25,0,0.8,0.5,0.75,0.531818182,0,1,0.318181818,0.5,0.888888889,0,1,0.111111111,0.111111111,0,0,0,0.2,0,0.4,1,0,0,0,0,0,0.422277805,-0.16234618,-0.691666667,-0.575757576,0.2,0,-1,0,-1,0,-1,0,1
282,0.696228448,0.5,0.931034483,0,0.6,0.961818182,0.9,1,0,0,0.85,0.6,1,0,0.25,0.928030303,0.375,1,0,0.090909091,1,1,1,0,0,0.685,0.57,0.8,0.59,0.48,0.7,0,1,1,0,0,2,0.88180717,-0.198339249,0.007666667,-0.125757576,0,0,-1,0,-1,0,-1,0,1
8,0.707129536,0,1,0.1,0.2,0.744545455,0.07,1,0,0.363636364,0.55,0.1,1,0,0.75,0.820833333,0,1,0.090909091,0.181818182,0.333333333,0,1,0.666666667,0.666666667,0.945,0.9,0.99,0.565,0.46,0.67,1,0,1,0,0,2,0.741686264,0.116704981,-0.345666667,-0.285606061,-0.6,1,1.67,1,1.33,0,-1,0,1
122,0.700000704,0.5,0.90625,0,0.5,0.729090909,0,1,0.090909091,0.272727273,0.7,0.3,1,0,0.5,0.9375,0.6,1,0,0.045454545,1,1,1,0,0,0.645,0.59,0.7,0.485,0.47,0.5,1,0,1,0,0,2,0.758422968,-0.275818402,-0.563,-0.097727273,0,0,-1,0,-1,0,-1,0,1
288,0.608666188,0.375,0.733333333,0,0.7,0.941818182,0.76,1,0,0,0.75,0.6,1,0,0.5,0.970075758,0.8,1,0,0,0.777777778,0,1,0.222222222,0.222222222,0.57,0.43,0.71,0.435,0.4,0.47,1,0,1,0,0,2,0.830713218,-0.037267016,0.018666667,-0.014393939,-0.5,0,-1,0,-1,0,-1,0,1
320,0.796045329,0.694444444,0.882352941,0,0.1,0.958181818,0.88,1,0,0,0.85,0.6,1,0,0.25,0.9375,0.6,1,0,0.045454545,1,1,1,0,0,0.55,0.52,0.58,0.545,0.45,0.64,1,0,0,0,3,0,0.886841732,-0.042172357,-0.040666667,0.002272727,0,0,-1,0,-1,0,-1,0,1
275,0.296909652,0,0.65625,0.5,1,0,0,0,1,1,0,0,0,1,1,0.350454545,0,1,0.454545455,0.681818182,0.222222222,0,1,0.777777778,0.777777778,0.325,0,0.65,0.145,0,0.29,1,0,1,0,0,2,0.150974914,-0.593819304,0,-0.616060606,-0.4,0,-1,0,-1,0,-1,1,1
177,0.984142157,0.933333333,1,0,0,0.999090909,0.99,1,0,0,0.925,0.8,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0.71,0.6,0.82,1,0,1,0,0,4,0.994916304,0.01995098,-0.002,0,0,1,4,1,4,1,4,0,1
63,0.788289666,0.666666667,0.970588235,0,0.2,0.905454545,0.62,1,0,0.090909091,0.875,0.7,1,0,0,0.900757576,0.416666667,1,0,0.045454545,0.888888889,0,1,0.111111111,0.111111111,0.675,0.6,0.75,0.625,0.48,0.77,0,0,0,1,3,0,0.865186351,0.065495831,-0.050333333,-0.062121212,0.2,0,-1,0,-1,0,-1,1,1
25,0.916163089,0.705882353,1,0,0,0.865454545,0,1,0.090909091,0.090909091,0.6125,0,0.9,0.25,0.25,0.928030303,0,1,0.045454545,0.045454545,0.666666667,0,1,0.333333333,0.333333333,1,1,1,0.635,0.5,0.77,1,0,1,0,0,3,0.878668904,-0.009940557,-0.222666667,0.11969697,-0.3,1,4,1,2.67,1,2,0,1
363,0.185098039,0,0.8,0.7,0.9,0.315454545,0,1,0.545454545,0.727272727,0,0,0,1,1,0.181818182,0,1,0.818181818,0.818181818,0.111111111,0,1,0.888888889,0.888888889,0.325,0,0.65,0,0,0,1,0,1,0,1,4,0.236117029,-0.370196078,-0.578333333,-0.363636364,-0.2,0,-1,0,-1,0,-1,1,1
267,0.927279412,0.805555556,1,0,0,0.943636364,0.84,1,0,0,0.875,0.7,1,0,0,0.930681818,0,1,0.045454545,0.045454545,1,1,1,0,0,1,1,1,0.65,0.54,0.76,1,0,1,0,0,5,0.941356331,-0.059215686,-0.028666667,0.097727273,0,1,4,1,4,1,4,0,1
194,0.880724307,0.764705882,1,0,0,0.956363636,0.89,1,0,0,0.975,0.9,1,0,0,0.934848485,0.4,1,0,0.045454545,1,1,1,0,0,1,1,1,0.67,0.56,0.78,1,0,0,1,0,0,0.943906236,0.056198445,-0.008,-0.039393939,0,0,-1,1,3.67,0,-1,0,1
92,0.708458559,0.413793103,0.96875,0,0.5,0.864545455,0.44,1,0,0.090909091,0.75,0.6,1,0,0.5,0.828030303,0,1,0.090909091,0.181818182,0.888888889,0,1,0.111111111,0.111111111,0.975,0.95,1,0.51,0.38,0.64,1,0,0,1,1,0,0.826455263,0.038801837,-0.136666667,0.310606061,-0.25,1,1,1,0,0,-1,0,1
83,0.8169667,0,1,0.1,0.1,0.651818182,0,1,0.272727273,0.272727273,0.825,0.6,1,0,0.25,0.957575758,0.533333333,1,0,0.045454545,0.666666667,0,1,0.333333333,0.333333333,0.91,0.82,1,0.655,0.53,0.78,1,0,1,0,1,2,0.764625631,-0.183933401,-0.249,-0.057575758,-0.3,0,-1,0,-1,0,-1,1,1
286,0.865727828,0.793103448,1,0,0,0.850909091,0,1,0.090909091,0.181818182,0.5,0,0.9,0.25,0.75,0.875530303,0,1,0.090909091,0.090909091,0.888888889,0,1,0.111111111,0.111111111,0.99,0.98,1,0.61,0.52,0.7,1,0,0,0,2,0,0.859960767,0.000733886,-0.317,0.001969697,-0.25,1,3.33,1,2.67,1,1,0,1
123,0.633686049,0.411764706,0.84375,0,0.7,0.424545455,0,1,0.363636364,0.636363636,0.4125,0,0.8,0.25,0.75,0.8,0,1,0.045454545,0.272727273,1,1,1,0,0,0.16,0.04,0.28,0.41,0.36,0.46,1,0,1,0,0,2,0.537242949,-0.180689092,-0.723333333,-0.345454545,0,0,-1,0,-1,0,-1,0,1
271,0.779859562,0.617647059,0.972222222,0,0.2,0.435454545,0,1,0.454545455,0.545454545,0.125,0,0.5,0.75,1,0.798257576,0,1,0.045454545,0.272727273,1,1,1,0,0,0.61,0.52,0.7,0.555,0.45,0.66,1,0,1,0,0,2,0.601521078,-0.018624352,-0.798333333,-0.352575758,0,1,0,0,-1,0,-1,0,1
158,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0.090909091,0,1,0.909090909,0.909090909,0,0,0,1,1,0.35,0,0.7,0,0,0,0,0,0,0,0,0,0.035701294,0,0,0.181818182,0,0,-1,0,-1,0,-1,0,1
169,0.782938923,0.6,0.916666667,0,0.1,0.85,0.55,1,0,0.272727273,0.825,0.6,1,0,0.25,0.882954545,0,1,0.045454545,0.136363636,0.888888889,0,1,0.111111111,0.111111111,0.635,0.52,0.75,0.625,0.53,0.72,0,1,0,1,0,0,0.832132602,0.092863985,-0.113666667,0.162878788,-0.25,0,-1,0,-1,0,-1,0,1
358,0.678509691,0.382352941,0.875,0,0.4,0.622727273,0,1,0.181818182,0.454545455,0.55,0,1,0.25,0.5,0.826060606,0.2,1,0,0.272727273,1,1,1,0,0,0.655,0.63,0.68,0.52,0.39,0.65,1,0,0,1,0,0,0.686142001,-0.129241605,-0.529333333,-0.064242424,0,0,-1,0,-1,0,-1,0,1
322,0.588845926,0.441176471,0.8,0,0.7,0.94,0.85,1,0,0,0.775,0.6,1,0,0.25,0.953560606,0.666666667,1,0,0.045454545,0.555555556,0,1,0.444444444,0.444444444,0.63,0.43,0.83,0.485,0.41,0.56,1,0,0,1,0,0,0.821347963,-0.116907539,-0.066,-0.041969697,-0.1,0,-1,0,-1,0,-1,0,1
391,0.79993943,0.583333333,0.941176471,0,0.1,0.960909091,0.92,1,0,0,0.9,0.8,1,0,0,0.9375,0,1,0.045454545,0.045454545,1,1,1,0,0,0.875,0.75,1,0.575,0.51,0.64,1,0,1,0,0,3,0.914019818,-0.086235069,-0.009,0.093181818,0,1,3.33,0,-1,0,-1,1,1
95,0.687890607,0.416666667,0.882352941,0,0.6,0.879090909,0.17,1,0,0.090909091,0.7,0,1,0.25,0.25,0.831818182,0,1,0.045454545,0.181818182,0.888888889,0,1,0.111111111,0.111111111,0.58,0.38,0.78,0.6,0.5,0.7,1,0,1,0,0,2,0.812524092,-0.057072064,-0.233,0.045454545,-0.25,1,2.67,1,1.67,1,2,0,1
4,0.917142918,0.852941176,0.972222222,0,0,0.970909091,0.89,1,0,0,0.925,0.8,1,0,0,0.882954545,0,1,0.045454545,0.090909091,1,1,1,0,0,0.94,0.9,0.98,0.64,0.52,0.76,1,0,0,1,0,0,0.941840046,0.026988675,-0.001666667,0.038636364,0,1,4,1,4,0,-1,0,1
353,0.742576065,0.611111111,0.888888889,0,0.5,0.73,0,1,0.090909091,0.272727273,0.75,0.4,1,0,0.5,0.890151515,0.25,1,0,0.136363636,0.888888889,0,1,0.111111111,0.111111111,0.52,0.47,0.57,0.57,0.49,0.65,0,1,1,0,0,2,0.754699601,0.011906694,-0.381333333,-0.146969697,-0.25,0,-1,0,-1,0,-1,0,1
37,0.372118408,0,0.896551724,0.5,0.5,0.433636364,0,1,0.545454545,0.545454545,0.275,0,0.6,0.5,1,0.482575758,0,1,0.454545455,0.545454545,0.555555556,0,1,0.444444444,0.444444444,0,0,0,0,0,0,0,0,1,0,0,0,0.375966301,-0.744236815,-0.795,-0.601515152,-1,0,-1,0,-1,0,-1,0,1
200,0.710286652,0.433333333,0.84375,0,0.5,0.741818182,0,1,0.090909091,0.181818182,0.55,0,1,0.25,0.5,0.857651515,0.2,1,0,0.181818182,1,1,1,0,0,0.435,0.39,0.48,0.55,0.52,0.58,0,1,0,0,0,2,0.743399274,-0.070246507,-0.417666667,-0.08469697,0,0,-1,0,-1,0,-1,0,1
370,0.779282877,0.527777778,0.933333333,0,0.2,0.757272727,0,1,0.090909091,0.272727273,0.5125,0,0.8,0.25,0.5,0.858106061,0,1,0.045454545,0.136363636,0.888888889,0,1,0.111111111,0.111111111,0.895,0.87,0.92,0.555,0.4,0.71,1,0,1,0,0,3,0.785436091,-0.144840264,-0.372666667,0.030757576,0.2,1,2,1,0,0,-1,0,1
257,0.782615647,0.666666667,1,0,0.2,0.911818182,0.82,1,0,0,0.675,0,1,0.25,0.25,0.958712121,0.75,1,0,0,1,1,1,0,0,0.935,0.87,1,0.555,0.4,0.71,1,0,1,0,0,3,0.885915218,-0.062616915,-0.018,0.017424242,0,1,3.33,1,2.67,0,-1,1,1
230,0.812550287,0.611111111,1,0,0.1,0.960909091,0.87,1,0,0,0.8875,0.75,1,0,0,0.89030303,0,1,0.045454545,0.136363636,1,1,1,0,0,0.975,0.95,1,0.65,0.52,0.78,1,0,1,0,0,4,0.921457623,-0.011375085,-0.038333333,0.067878788,0,1,4,1,3.67,1,4,0,1
136,0.22849476,0,0.676470588,0.6,1,0.32,0,1,0.636363636,0.727272727,0.175,0,0.5,0.5,1,0.426515152,0,1,0.5,0.590909091,0.333333333,0,1,0.666666667,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0.275351348,-0.45698952,-0.586666667,-0.489393939,-0.6,0,-1,0,-1,0,-1,0,1
30,0.624660525,0.416666667,0.724137931,0,0.7,0.860909091,0.54,1,0,0.181818182,0.75,0.4,1,0,0.25,0.853030303,0,1,0.045454545,0.136363636,1,1,1,0,0,0.205,0.1,0.31,0.41,0.41,0.41,1,0,0,0,0,0,0.761705398,-0.131020397,-0.067666667,0.163636364,0,0,-1,0,-1,0,-1,0,1
145,0.415555556,0,0.9375,0.5,0.5,0.534545455,0,1,0.454545455,0.454545455,0.25,0,1,0.75,0.75,0.550909091,0,1,0.363636364,0.5,0.333333333,0,1,0.666666667,0.666666667,0.5,0,1,0.265,0,0.53,1,0,0,1,1,0,0.491527091,-0.183888889,-0.98,-0.365454545,-0.6,0,-1,0,-1,0,-1,0,1
151,0.748267974,0.566666667,1,0,0.5,0.844545455,0.52,1,0,0.090909091,0.55,0.1,1,0,0.75,0.948636364,0.65,1,0,0.045454545,1,1,1,0,0,0.92,0.86,0.98,0.545,0.37,0.72,0,0,1,0,0,2,0.841020778,-0.047189542,-0.184333333,-0.006363636,0,1,2.33,1,1,0,-1,0,1
287,0.83899862,0.735294118,1,0,0,0.694545455,0,1,0.272727273,0.272727273,0.4,0,1,0.5,0.75,0.805681818,0,1,0.181818182,0.181818182,0.888888889,0,1,0.111111111,0.111111111,1,1,1,0.645,0.56,0.73,1,0,0,0,2,0,0.771906615,-0.073993971,-0.646333333,-0.179545455,-0.25,0,-1,0,-1,0,-1,0,1
388,0.829844349,0.724137931,0.9375,0,0,0.88,0.72,0.99,0,0,0.725,0,1,0.25,0.25,0.918181818,0.25,1,0,0.090909091,1,1,1,0,0,0.965,0.95,0.98,0.65,0.55,0.75,0,0,0,0,2,0,0.885968253,0.051259015,-0.066,0,0,0,-1,0,-1,0,-1,1,1
130,0.88910835,0.75,0.970588235,0,0,0.687272727,0,1,0.181818182,0.272727273,0.95,0.8,1,0,0,0.715075758,0,1,0.136363636,0.318181818,0.444444444,0,1,0.555555556,0.555555556,0.86,0.85,0.87,0.65,0.55,0.75,1,0,1,0,2,2,0.748674712,-0.015471602,-0.644,0.00469697,-0.8,1,1.67,1,3.67,1,0,0,1
47,0.619906187,0.352941176,0.794117647,0,0.4,0.876363636,0.65,1,0,0.090909091,0.5875,0,0.8,0.25,0.25,0.93219697,0.25,1,0,0.090909091,0.888888889,0,1,0.111111111,0.111111111,0.535,0.42,0.65,0.53,0.47,0.59,1,0,0,0,0,0,0.802244122,-0.205988844,-0.118,-0.090151515,0.2,1,1.33,0,-1,0,-1,0,1
220,0.772392664,0,0.970588235,0.1,0.1,0.748181818,0,1,0.090909091,0.363636364,0.625,0,1,0.25,0.5,0.888636364,0,1,0.045454545,0.136363636,1,1,1,0,0,0.9,0.8,1,0.68,0.52,0.84,1,0,0,0,2,0,0.803811849,-0.084246112,-0.524666667,0.065151515,0,1,2.33,1,1,0,-1,0,1
371,0.575583227,0.409090909,0.763157895,0,0.777777778,0.586923077,0,1,0.230769231,0.461538462,0.58,0,0.857142857,0.2,0.6,0.744688645,0,1.166666667,0.115384615,0.307692308,0.846153846,0,1,0.153846154,0.153846154,0.223333333,0,0.55,0.602536232,0.433333333,0.77173913,1,0,0,0,1,2,0.5784814,-0.234954851,-0.501904762,-0.127838828,-0.333333333,0,-1,0,-1,0,-1,-1,2
131,0.30960077,0,0.91,0.444444444,0.888888889,0.536923077,0,1,0.230769231,0.461538462,0,0,0,1,1,0.335447192,0,1,0.615384615,0.653846154,0.384615385,0,1,0.615384615,0.615384615,0.35,0,0.82,0.548309179,0.444444444,0.652173913,1,0,0,0,0,0,0.4342634,-0.19932684,-0.198571429,-0.307005495,-0.714285714,0,-1,0,-1,0,-1,-1,2
182,0.170076628,0,0.91,0.777777778,0.888888889,0,0,0,1,1,0,0,0,1,1,0.057692308,0,1,0.923076923,0.961538462,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0.0341653,-0.306137931,0,-0.115384615,0,0,-1,0,-1,0,-1,-1,2
